80
81
65065	1	A 3
71723	1	A 3
80855	4	A 3
113768	1	A 3
121568	1	A 3
129939	2	A 3
148013	2	E 2
165325	1	A#3
171033	1	A#3
180736	4	A#3
211175	1	A#3
218975	1	A#3
227537	2	A#3
245420	2	E 2
261210	1	B 3
270342	1	B 3
279094	4	B 3
312007	1	B 3
319426	1	B 3
327797	2	B 3
345110	2	E 2
361661	1	C 4
369842	1	C 4
378974	4	C 4
410745	1	C 4
417785	1	C 4
426726	2	C 4
442707	2	E 2
459449	1	D 4
465727	1	D 4
475620	4	D 4
510055	1	A 3
516143	1	A 3
526987	2	A 3
544680	2	E 2
559710	1	A#3
564466	1	A#3
575690	4	A#3
609364	1	A#3
615833	1	A#3
624584	2	A#3
641897	2	E 2
656926	1	B 3
665487	1	B 3
674810	4	B 3
709625	1	B 3
716474	1	B 3
725606	2	B 3
741396	2	E 2
759089	1	C 4
765368	1	C 4
775641	4	C 4
808744	1	C 4
815783	1	C 4
824535	2	C 4
840896	2	E 2
857828	3	G 4
883892	3	F#4
907483	3	F 4
929932	3	E 4
954855	2	D 4
972738	2	C#4
990431	3	C 4
1013831	3	B 3
1041608	3	A#3
1070145	3	A 3
1090121	2	F 3
1107814	2	D 3
1122083	3	G 4
1143200	3	F#4
1170596	3	F 4
1194377	3	E 4
1220060	2	D 4
1234139	2	C#4
1250119	3	C 4
1273330	3	B 3
1299584	3	A#3
1326409	3	A 3
1349429	2	F 3
1366361	1	D 3
1375873	4	D 3	
