124
91
116741	2	G 2
126453	2	G 2
139023	2	G 3
151973	10	G 2
209486	2	A#2
220341	2	A#2
233482	2	A#3
244718	10	A#2
301279	2	G 2
311944	2	G 2
323942	2	G 3
336701	10	G 2
390977	2	A#2
401832	2	A#2
413449	2	A#3
426399	4	A#2
449252	2	A#2
459536	2	A#3
474772	2	A#2
486769	2	G 2
496482	2	G 2
508861	2	G 3
519335	10	G 2
578753	2	A#2
587132	2	A#2
599701	2	A#3
611509	4	A#2
633600	2	A#2
645217	2	A#3
658929	2	A#2
670165	4	A 2
692447	2	A 3
702921	4	A 2
725964	2	A 2
737391	2	A 3
748436	2	A 2
762339	2	C 3
771861	2	C 3
783287	2	C 4
795476	2	C 3
806331	2	C 3
818900	2	C 3
830517	2	C 4
839468	2	C 3
852799	2	G 2
860416	2	G 2
873747	2	G 3
887078	10	G 2
943258	2	A#2
954875	2	A#2
965921	2	A#3
977919	10	A#2
1039051	2	G 2
1050477	2	G 2
1060571	2	G 3
1073521	10	G 2
1130844	2	A#2
1141128	2	A#2
1153887	2	A#3
1166266	4	A#2
1190071	2	A#2
1200164	2	A#3
1213686	2	A#2
1227017	2	G 2
1235777	2	G 2
1247775	2	G 3
1258821	10	G 2
1318810	2	A#2
1326999	2	A#2
1339758	2	A#3
1352137	4	A#2
1375752	2	A#2
1386036	4	A#3
1412698	2	A 2
1421458	2	A 2
1434598	2	A 3
1446596	2	A 2
1460118	2	A 2
1468878	2	A 2
1481447	2	A 3
1496682	2	A 2
1526582	2	C 4
1539913	2	C 3
1546388	2	C 3
1561242	2	C 3
1572859	2	C 4
1584667	2	C 3
1597617	2	G 3
1606758	2	G 3
1619708	2	G 3
1630944	4	G 3
