120
79
9897	2	A 2
18653	2	A 2
32928	2	C 3
44729	2	A 2
55387	2	A 2
66427	2	C 3
76134	2	C 3
87173	2	A 2
98784	2	B 2
107920	2	B 2
119530	2	A 2
130569	2	B 2
137802	2	B 2
153600	2	D 3
163307	2	D 3
175679	2	D#3
188621	4	E 2
207274	2	E 3
219456	2	E 2
229163	2	E 2
241534	2	E 3
252954	2	E 3
263042	2	E 2
274843	4	F 2
297873	2	F 3
307009	2	F 2
320523	4	G 2
341841	2	G 3
351548	2	G 2
365252	2	E 5
375720	2	A 4
385998	2	C 5
398560	2	E 5
408267	2	A 4
420068	2	C 5
430156	2	E 5
441195	2	A 4
452425	2	D#5
463084	2	A 4
474504	2	C 5
486114	2	D#5
496582	2	A 4
507051	2	C 5
519042	2	D#5
528939	2	A 4
541501	2	D 5
551018	2	G#4
562628	2	B 4
573097	2	D 5
584327	2	G#4
594985	2	G#4
606215	2	B 4
616112	2	C 5
628104	2	A 4
638572	2	A 4
649611	2	B 4
661222	2	C 5
669977	2	D 5
682539	2	B 4
693959	2	C 5
705570	2	D 5
720225	4	A 2
741162	2	C 3
753153	10	A 2
808350	2	B 2
818438	2	B 2
829097	2	A 2
840136	10	B 2
898378	4	E 2
917792	2	E 3
928832	10	E 2
984790	2	F 2
994688	2	F 2
1005727	2	F 3
1016766	2	F 2
1029709	2	G 2
1039035	2	G 2
1049504	2	G 4
1061685	2	G 2
