96
88
49455	3	E 4
68096	1	D 4
74562	2	B 3
87687	2	D 4
101953	2	G 3
115648	2	G 3
127822	1	A 3
134289	1	G 3
142468	2	E 3
156163	3	E 4
175184	1	D 4
182793	2	B 3
198010	4	E 4
224259	6	E 2
272952	3	E 4
291593	1	D 4
298060	2	B 3
310995	2	D 4
325260	2	G 3
339146	2	G 3
351319	1	A 3
357786	1	G 3
365966	2	E 3
379661	3	E 4
398682	1	D 4
406291	2	B 3
421507	4	E 4
447566	6	E 2
490363	3	E 4
508814	1	D 4
515471	2	B 3
528406	2	D 4
542672	2	G 3
556367	2	G 3
568730	1	A 3
575198	1	G 3
583186	2	E 3
597072	3	E 4
616093	1	D 4
623511	2	B 3
638728	4	E 4
664977	6	E 2
712149	3	E 4
730790	1	D 4
737447	2	B 3
750382	2	D 4
764647	2	G 3
778342	2	G 3
790707	1	A 3
797173	1	G 3
805162	2	E 3
819428	3	E 4
838259	1	D 4
847009	2	B 3
859752	2	D 4
875350	2	B 4
888285	1	B 4
897605	1	A 4
904453	4	G 4
932794	4	E 2
953337	2	G 2
974640	10	E 3
1042926	4	E 2
1062517	2	G 2
1084392	10	E 2
1151726	4	E 2
1171318	2	G 2
1192241	10	E 3
1264141	4	E 2
1287537	2	G 2
1302564	10	E 2
1372371	3	B 4
1391392	1	B 4
1398810	1	B 4
1406989	1	A 4
1413837	10	G 4
1484595	4	E 2
1503046	2	G 2
1523588	10	E 3
1590923	3	E 5
1611275	1	E 5
1618314	1	E 5
1625351	1	D 5
1631628	1	B 4
1640948	1	D 5
1647606	8	E 5
1703528	4	E 2
1728255	2	G 2
1743662	10	E 2
