120
47
94143	6	E 3
127112	2	E 3
139881	3	G 3
156461	3	E 3
172850	2	D 3
187143	8	C 3
235549	8	B 2
286050	6	E 3
312159	2	E 3
331979	3	G 3
351227	3	E 3
366282	2	D 3
380194	3	C 3
398298	3	D 3
414306	2	C 3
429743	4	B 2
478339	6	E 3
513214	2	E 3
525792	3	G 3
543324	3	E 3
559142	2	D 3
576484	8	C 3
620125	8	B 2
668531	6	E 3
690828	2	E 3
717318	3	G 3
733898	3	E 3
751240	2	D 3
767820	3	C 3
781160	3	D 3
801742	2	C 3
814510	4	B 2
861582	4	G 2
885785	2	G 2
894742	2	G 2
909035	4	G 2
933618	4	G 2
960489	2	A 2
969827	2	A 2
985264	2	A 2
994030	2	A 2
1006227	2	A 2
1016899	2	A 2
1029477	4	A 2
1055967	16	E 3
1152778	8	C 3
1200231	8	B 2
